basin,key,overlap_area_mi2
BND,41.218750_-121.343750,14.045876911586923
BND,41.218750_-121.406250,14.045876911582761
BND,41.218750_-121.468750,14.045876911587593
BND,41.218750_-121.531250,14.045876911587332
BND,41.218750_-121.593750,14.045876911581582
BND,41.218750_-121.656250,14.045876911585307
BND,41.218750_-121.718750,14.045876911585813
BND,41.218750_-121.781250,14.045876911580295
BND,41.218750_-121.843750,14.04587691158566
BND,41.218750_-121.906250,14.045876911586472
BND,41.218750_-121.968750,14.045876911579976
BND,41.218750_-122.031250,14.045876911584731
BND,41.218750_-122.093750,14.045876911586504
BND,41.218750_-122.156250,14.04587691158173
BND,41.218750_-122.218750,14.045876911587035
BND,41.218750_-122.281250,14.045876911585724
BND,41.218750_-122.343750,14.045876911579526
BND,41.218750_-122.406250,14.045876911586241
BND,41.218750_-122.468750,13.92545189594846
BND,41.218750_-122.531250,2.8115061592968265
BND,41.281250_-120.218750,12.32083214227939
BND,41.281250_-120.281250,14.03265036912862
BND,41.281250_-120.343750,14.032650369122637
BND,41.281250_-120.406250,14.03265036912788
BND,41.281250_-120.468750,14.03265036912828
BND,41.281250_-120.531250,14.032650369124127
BND,41.281250_-120.593750,14.03265036912927
BND,41.281250_-120.656250,14.032650369128223
BND,41.281250_-120.718750,14.032650369122603
BND,41.281250_-120.781250,14.03265036912789
BND,41.281250_-120.843750,14.032650369127927
BND,41.281250_-120.906250,14.032650369122404
BND,41.281250_-120.968750,14.032650369127982
BND,41.281250_-121.031250,14.032650369128275
BND,41.281250_-121.093750,14.032650369123305
BND,41.281250_-121.156250,14.032650369129534
BND,41.281250_-121.218750,14.032650369123353
BND,41.281250_-121.281250,14.032650369129255
BND,41.281250_-121.343750,14.032650369128781
BND,41.281250_-121.406250,14.032650369121964
BND,41.281250_-121.468750,14.03265036912793
BND,41.281250_-121.531250,14.032650369128891
BND,41.281250_-121.593750,14.032650369124323
BND,41.281250_-121.656250,14.032650369129323
BND,41.281250_-121.718750,14.032650369128378
BND,41.281250_-121.781250,14.03265036912338
BND,41.281250_-121.843750,14.032650369129172
BND,41.281250_-121.906250,14.032650369128776
BND,41.281250_-121.968750,14.032650369123889
BND,41.281250_-122.031250,14.032650369129398
BND,41.281250_-122.093750,14.032650369128227
BND,41.281250_-122.156250,14.032650369122608
BND,41.281250_-122.218750,14.032650369127913
BND,41.281250_-122.281250,14.032650369128804
BND,41.281250_-122.343750,14.03265036912475
BND,41.281250_-122.406250,14.032650369128218
BND,41.281250_-122.468750,13.985303048220482
BND,41.281250_-122.531250,1.842093341737947
BND,41.343750_-120.218750,9.67463597230368
BND,41.343750_-120.281250,14.019406801175146
BND,41.343750_-120.343750,14.01940680116983
BND,41.343750_-120.406250,14.019406801175666
BND,41.343750_-120.468750,14.019406801176624
BND,41.343750_-120.531250,14.019406801169211
BND,41.343750_-120.593750,14.019406801175759
BND,41.343750_-120.656250,14.019406801176029
BND,41.343750_-120.718750,14.019406801169858
BND,41.343750_-120.781250,14.019406801177317
BND,41.343750_-120.843750,14.019406801176707
BND,41.343750_-120.906250,14.019406801170447
BND,41.343750_-120.968750,14.019406801176238
BND,41.343750_-121.031250,14.019406801174751
BND,41.343750_-121.093750,14.019406801168111
BND,41.343750_-121.156250,14.019406801175343
BND,41.343750_-121.218750,14.019406801170206
BND,41.343750_-121.281250,14.019406801176144
BND,41.343750_-121.343750,14.019406801175705
BND,41.343750_-121.406250,14.019406801167952
BND,41.343750_-121.468750,14.019406801174943
BND,41.343750_-121.531250,14.019406801174915
BND,41.343750_-121.593750,14.019406801168532
BND,41.343750_-121.656250,14.019406801176288
BND,41.343750_-121.718750,14.019406801175396
BND,41.343750_-121.781250,14.019406801168584
BND,41.343750_-121.843750,14.019406801175387
BND,41.343750_-121.906250,14.01940680117504
BND,41.343750_-121.968750,14.019406801168435
BND,41.343750_-122.031250,14.01940680117503
BND,41.343750_-122.093750,14.01940680117497
BND,41.343750_-122.156250,14.019406801169636
BND,41.343750_-122.218750,14.019406801177126
BND,41.343750_-122.281250,14.019406801175524
BND,41.343750_-122.343750,13.643928585821328
BND,41.343750_-122.406250,11.348111762544649
BND,41.406250_-120.281250,14.00614622182748
BND,41.406250_-120.343750,14.006146221821513
BND,41.406250_-120.406250,14.006146221826574
BND,41.406250_-120.468750,14.006146221826668
BND,41.406250_-120.531250,14.006146221821957
BND,41.406250_-120.593750,14.006146221826462
BND,41.406250_-120.656250,14.006146221827308
BND,41.406250_-120.718750,14.006146221821675
BND,41.406250_-120.781250,14.006146221825725
BND,41.406250_-120.843750,14.006146221827313
BND,41.406250_-120.906250,14.006146221821146
BND,41.406250_-120.968750,14.006146221826087
BND,41.406250_-121.031250,14.00614622182731
BND,41.406250_-121.093750,14.006146221821503
BND,41.406250_-121.156250,14.006146221826588
BND,41.406250_-121.218750,14.006146221820128
BND,41.406250_-121.281250,14.00614622182465
BND,41.406250_-121.343750,14.00614622182564
BND,41.406250_-121.406250,14.00614622182285
BND,41.406250_-121.468750,14.006146221828196
BND,41.406250_-121.531250,14.006146221827377
BND,41.406250_-121.593750,14.006146221822094
BND,41.406250_-121.656250,14.006146221827857
BND,41.406250_-121.718750,14.006146221828907
BND,41.406250_-121.781250,14.006146221821917
BND,41.406250_-121.843750,14.006146221827755
BND,41.406250_-121.906250,14.006146221828976
BND,41.406250_-121.968750,14.006146221823082
BND,41.406250_-122.031250,14.006146221827578
BND,41.406250_-122.093750,14.000972029201444
BND,41.406250_-122.156250,11.356835657492475
BND,41.406250_-122.218750,7.074365293120356
BND,41.468750_-120.281250,13.294375429362507
BND,41.468750_-120.343750,13.992868645257682
BND,41.468750_-120.406250,13.992868645263265
BND,41.468750_-120.468750,13.992868645262721
BND,41.468750_-120.531250,13.992868645257184
BND,41.468750_-120.593750,13.992868645263417
BND,41.468750_-120.656250,13.992868645262071
