entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
usgs_11375700,usgs_daily,daily,11375700,NF COTTONWOOD C NR IGO CA,usgs_gpkg,,87.67,,40.4420952,-122.5502903,usgs_gauges:11375700,1956-10-01,1956-10-01,1980-09-29,8765,usgs/flow_daily.nc:flow_mm,
usgs_11379000,usgs_daily,daily,11379000,ANTELOPE C NR RED BLUFF CA,usgs_gpkg,,123.1,,40.2037674,-122.1183272,usgs_gauges:11379000,1950-01-01,1950-01-01,1982-09-29,11960,usgs/flow_daily.nc:flow_mm,
usgs_11390672,usgs_daily,daily,11390672,STONE CORRAL C NR SITES CA,usgs_gpkg,,38.71,,39.2882206,-122.3010909,usgs_gauges:11390672,1958-04-01,1958-04-01,1985-09-29,9678,usgs/flow_daily.nc:flow_mm,
usgs_11394500,usgs_daily,daily,11394500,MF FEATHER R NR MERRIMAC CA,usgs_gpkg,,1061.92,,39.7082199,-121.2705175,usgs_gauges:11394500,1951-10-01,1951-10-01,1986-09-29,12783,usgs/flow_daily.nc:flow_mm,
usgs_11396400,usgs_daily,daily,11396400,SUCKER RUN NR FORBESTOWN CA,usgs_gpkg,,18.84,,39.55322067,-121.302185,usgs_gauges:11396400,1965-07-01,1965-07-01,1987-09-30,8127,usgs/flow_daily.nc:flow_mm,
usgs_11408850,usgs_daily,daily,11408850,M YUBA R NR CAMPTONVILLE CA,usgs_gpkg,,135.29,,39.41683845,-120.9527274,usgs_gauges:11408850,1967-08-18,1967-08-18,1980-12-31,4885,usgs/flow_daily.nc:flow_mm,
usgs_11409300,usgs_daily,daily,11409300,OREGON C A CAMPTONVILLE CA,usgs_gpkg,,23.05,,39.4460031,-121.046343,usgs_gauges:11409300,1967-10-01,1967-10-01,2000-09-30,12023,usgs/flow_daily.nc:flow_mm,
usgs_11409500,usgs_daily,daily,11409500,OREGON C NR NORTH SAN JUAN CA,usgs_gpkg,,34.4,,39.4026698,-121.0774542,usgs_gauges:11409500,1950-01-01,1950-01-01,1969-10-01,7214,usgs/flow_daily.nc:flow_mm,
usgs_11413100,usgs_daily,daily,11413100,N YUBA R AB SLATE C NR STRAWBERRY CA,usgs_gpkg,,350.4,,39.52461288,-121.0916235,usgs_gauges:11413100,1968-07-01,1968-07-01,1986-12-31,6758,usgs/flow_daily.nc:flow_mm,
usgs_11413320,usgs_daily,daily,11413320,DEADWOOD C NR STRAWBERRY VALLEY CA,usgs_gpkg,,3.14,,39.54989055,-121.0944014,usgs_gauges:11413320,1994-10-01,1994-10-01,2014-12-31,6958,usgs/flow_daily.nc:flow_mm,
usgs_11413323,usgs_daily,daily,11413323,OWL GULCH NR STRAWBERRY VALLEY CA,usgs_gpkg,,2.08,,39.5454461,-121.0952348,usgs_gauges:11413323,1994-10-01,1994-10-01,2014-12-31,6590,usgs/flow_daily.nc:flow_mm,
usgs_11414000,usgs_daily,daily,11414000,S YUBA R NR CISCO CA,usgs_gpkg,,52.32,,39.3212909,-120.5643753,usgs_gauges:11414000,1950-01-01,1950-01-01,1980-12-31,11323,usgs/flow_daily.nc:flow_mm,
usgs_11418000,usgs_daily,daily,11418000,YUBA R BL ENGLEBRIGHT DAM NR SMARTSVILLE CA,usgs_gpkg,,1108.66,,39.23517079,-121.2741256,usgs_gauges:11418000,1950-01-01,1950-01-01,1969-12-31,7305,usgs/flow_daily.nc:flow_mm,
usgs_11426150,usgs_daily,daily,11426150,ONION C NR SODA SPRINGS CA,usgs_gpkg,,3.6,,39.26712708,-120.3649233,usgs_gauges:11426150,1959-10-01,1959-10-01,1979-10-01,7306,usgs/flow_daily.nc:flow_mm,
