entity_id,key,lat,lon,overlap_mi2
uf_04,39.84375_-122.34375,39.84375,-122.34375,3.273379
uf_04,39.84375_-122.40625,39.84375,-122.40625,3.789198
uf_04,39.84375_-122.46875,39.84375,-122.46875,2.772083
uf_04,39.84375_-122.53125,39.84375,-122.53125,8.086289
uf_04,39.84375_-122.59375,39.84375,-122.59375,8.498341
uf_04,39.84375_-122.65625,39.84375,-122.65625,0.029924
uf_04,39.84375_-122.71875,39.84375,-122.71875,1.423831
uf_04,39.84375_-122.78125,39.84375,-122.78125,3.233498
uf_04,39.84375_-122.84375,39.84375,-122.84375,5.60429
uf_04,39.84375_-122.90625,39.84375,-122.90625,9.709874
uf_04,39.84375_-122.96875,39.84375,-122.96875,2.613178
uf_06,40.03125_-122.71875,40.03125,-122.71875,0.00164
uf_06,40.03125_-122.78125,40.03125,-122.78125,2.8399
uf_06,40.03125_-122.84375,40.03125,-122.84375,5.579387
uf_06,40.03125_-122.90625,40.03125,-122.90625,4.498171
uf_06,40.03125_-122.96875,40.03125,-122.96875,0.682944
uf_06,40.09375_-122.65625,40.09375,-122.65625,2.208271
uf_06,40.09375_-122.71875,40.09375,-122.71875,11.3091
uf_06,40.09375_-122.78125,40.09375,-122.78125,14.279593
uf_06,40.09375_-122.84375,40.09375,-122.84375,14.281027
uf_06,40.09375_-122.90625,40.09375,-122.90625,14.281027
uf_06,40.09375_-122.96875,40.09375,-122.96875,6.61066
uf_06,40.15625_-122.53125,40.15625,-122.53125,1.964654
uf_06,40.15625_-122.59375,40.15625,-122.59375,9.893268
uf_06,40.15625_-122.65625,40.15625,-122.65625,13.823795
uf_06,40.15625_-122.71875,40.15625,-122.71875,14.26811
uf_06,40.15625_-122.78125,40.15625,-122.78125,14.26811
uf_06,40.15625_-122.84375,40.15625,-122.84375,14.26811
uf_06,40.15625_-122.90625,40.15625,-122.90625,14.26811
uf_06,40.15625_-122.96875,40.15625,-122.96875,9.633483
uf_06,40.21875_-122.21875,40.21875,-122.21875,0.877193
uf_06,40.21875_-122.40625,40.21875,-122.40625,0.361494
uf_06,40.21875_-122.46875,40.21875,-122.46875,5.259028
uf_06,40.21875_-122.53125,40.21875,-122.53125,13.145659
uf_06,40.21875_-122.59375,40.21875,-122.59375,14.255175
uf_06,40.21875_-122.65625,40.21875,-122.65625,14.255175
uf_06,40.21875_-122.71875,40.21875,-122.71875,14.255175
uf_06,40.21875_-122.78125,40.21875,-122.78125,14.255175
uf_06,40.21875_-122.84375,40.21875,-122.84375,14.255175
uf_06,40.21875_-122.90625,40.21875,-122.90625,14.255175
uf_06,40.21875_-122.96875,40.21875,-122.96875,8.995072
uf_06,40.28125_-121.59375,40.28125,-121.59375,0.638472
uf_06,40.28125_-122.09375,40.28125,-122.09375,0.904891
uf_06,40.28125_-122.15625,40.28125,-122.15625,5.454386
uf_06,40.28125_-122.21875,40.28125,-122.21875,12.659195
uf_06,40.28125_-122.28125,40.28125,-122.28125,8.442876
uf_06,40.28125_-122.34375,40.28125,-122.34375,9.872646
uf_06,40.28125_-122.40625,40.28125,-122.40625,13.339403
uf_06,40.28125_-122.46875,40.28125,-122.46875,14.242222
uf_06,40.28125_-122.53125,40.28125,-122.53125,14.237895
uf_06,40.28125_-122.59375,40.28125,-122.59375,14.247571
uf_06,40.28125_-122.65625,40.28125,-122.65625,14.242222
uf_06,40.28125_-122.71875,40.28125,-122.71875,14.245179
uf_06,40.28125_-122.78125,40.28125,-122.78125,14.242222
uf_06,40.28125_-122.84375,40.28125,-122.84375,14.242222
uf_06,40.28125_-122.90625,40.28125,-122.90625,14.24302
uf_06,40.28125_-122.96875,40.28125,-122.96875,14.202772
uf_06,40.28125_-123.03125,40.28125,-123.03125,11.06545
uf_06,40.28125_-123.09375,40.28125,-123.09375,0.40874
uf_06,40.34375_-121.53125,40.34375,-121.53125,3.455168
uf_06,40.34375_-121.59375,40.34375,-121.59375,12.910405
uf_06,40.34375_-121.65625,40.34375,-121.65625,9.949838
uf_06,40.34375_-121.71875,40.34375,-121.71875,6.705978
uf_06,40.34375_-121.78125,40.34375,-121.78125,5.138033
uf_06,40.34375_-121.84375,40.34375,-121.84375,6.453871
uf_06,40.34375_-121.90625,40.34375,-121.90625,7.406359
uf_06,40.34375_-121.96875,40.34375,-121.96875,6.98721
uf_06,40.34375_-122.03125,40.34375,-122.03125,7.182337
uf_06,40.34375_-122.09375,40.34375,-122.09375,13.746007
uf_06,40.34375_-122.15625,40.34375,-122.15625,14.219645
uf_06,40.34375_-122.21875,40.34375,-122.21875,14.201517
uf_06,40.34375_-122.28125,40.34375,-122.28125,14.229015
uf_06,40.34375_-122.34375,40.34375,-122.34375,14.229253
uf_06,40.34375_-122.40625,40.34375,-122.40625,14.225048
uf_06,40.34375_-122.46875,40.34375,-122.46875,14.22601
uf_06,40.34375_-122.53125,40.34375,-122.53125,14.229253
