arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_EBF001,EBF001,cdec_ORO,trained entity,OROV,UF8,955.672466225,1.000309105145893,99,0,0.0,True,train,1987-10,2018-12,375,0.722922162817702,0.8735643626281295,27.28814476980157,0.9526906656378012,0.9916531298044826,1.2728814476980157,0.07806207092887063,-0.2905725720606904,742.559527782995,583.3689611282348
I_ECHOL,ECHOL,cdec_FOL,trained entity,FOLS,UF11,4.75103086469,0.994370482777899,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.42737227174419423,0.44065024209019454,-21.771669664772087,0.7091513199046305,0.5573839130183013,0.7822833033522791,0.21162511761665448,-0.7075518899460009,12.598784338087077,16.105142835208348
I_ECHOL,ECHOL,cdec_FOL,trained entity,FOLS,UF11,4.75103086469,0.994370482777899,2,0,0.0,True,train,1987-10,2018-12,375,0.12950251699768678,0.0760460891970195,-47.03993980611271,0.5007396503476593,0.4640621514745255,0.5296006019388728,0.26610107272499195,-0.9651722580312905,7.769791612523746,14.671039995193482
I_ELENR,ELENR,cdec_TLG,trained entity,TU,UF18,109.4475973122,1.0004699141574886,18,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8976572904196445,0.9026456798993091,8.72152017264714,0.9560478140201171,1.0305899352671704,1.0872152017264713,0.043196508455402426,-0.1212690617336607,193.46497495358273,177.94542850979735
I_ELENR,ELENR,cdec_TLG,trained entity,TU,UF18,109.4475973122,1.0004699141574886,18,0,0.0,True,train,1986-10,2018-12,387,0.9191026586184945,0.8707742418360085,-1.335762322941173,0.9334956762457143,0.955919066862848,0.9866423767705882,0.08208605070861744,-0.35502622115130844,181.13071361571036,183.58294543213853
I_ENGLB,ENGLB,cdec_YRS,trained entity,YUBA,UF9,135.508215946,0.9997359665111133,23,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6949608524101267,0.3855475696794083,8.089558241081784,0.7375524963916705,1.1327633012489782,1.080895582410818,0.1741096190392236,-0.6041946510090597,144.93883291647995,134.09142869583198
I_ENGLB,ENGLB,cdec_YRS,trained entity,YUBA,UF9,135.508215946,0.9997359665111133,23,0,0.0,True,train,1987-10,2018-12,375,0.826703071781139,0.6516846615158574,2.6837987466304396,0.8324044476042467,1.0349753995833337,1.0268379874663043,0.1355060846115807,-0.8349801946610036,122.03961289121207,118.84992022192478
I_EPARK,EPARK,uf_04,trained entity,,UF4,97.6343125206,1.0017719939581728,16,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6400758662736973,0.7249306481713834,-28.61421488571814,0.8730310907757848,0.8223853925589534,0.7138578511428186,0.08838110649518816,0.07276122829158904,54.165290221054505,75.8768571842994
I_EPARK,EPARK,uf_04,trained entity,,UF4,97.6343125206,1.0017719939581728,16,0,0.0,True,train,1984-10,2014-09,360,0.7940839815365613,0.6877742847512793,-2.6681408466155925,0.877346059010787,1.1632345547422849,0.9733185915338441,0.0993239273313876,-0.2559718158979436,58.4033333288717,60.004333459647995
I_ESTMN,ESTMN,uf_20,trained entity,,UF20,234.811659592,0.9999382639212854,30,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5951581937967159,0.8264698919460134,-27.99978565312691,0.9488318716984293,0.712111287067474,0.7200021434687309,0.09053248929829247,-0.4736663861662178,56.335436105241214,78.24342832347112
I_ESTMN,ESTMN,uf_20,trained entity,,UF20,234.811659592,0.9999382639212854,30,0,0.0,True,train,1984-10,2014-09,360,0.786730908404861,0.8669361652219485,-12.965594552942324,0.9372452097751364,0.8427267425068065,0.8703440544705768,0.09433732133729385,-0.7335039233054541,52.78520638127028,60.6486665935566
I_FOLSM,FOLSM,cdec_FOL,trained entity,FOLS,UF11,193.996983146,1.0000599565731898,26,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.46841321825483917,0.4873921679222306,-40.040152418072374,0.7432327364109607,0.7626527895488817,0.5995984758192763,0.19065556637536568,-0.6542442055551785,92.27289456497635,153.89114263323802
I_FOLSM,FOLSM,cdec_FOL,trained entity,FOLS,UF11,193.996983146,1.0000599565731898,26,0,0.0,True,train,1987-10,2018-12,375,0.5580649949170144,0.4734110736325996,-36.13403693271451,0.7496322631523415,0.9546603643816751,0.6386596306728549,0.38180709659338735,-2.1184941444838437,100.85937674837609,157.92351967215538
I_FRDYC,FRDYC,cdec_YRS,trained entity,YUBA,UF9,31.626772939,1.0033690091244043,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7437157107191559,0.688838171466038,-4.800041084997017,0.8309092982612876,0.8134901287439958,0.9519995891500298,0.14929553565684112,-0.3018489509587132,93.69960755464557,98.42399999174688
I_FRDYC,FRDYC,cdec_YRS,trained entity,YUBA,UF9,31.626772939,1.0033690091244043,7,0,0.0,True,train,1987-10,2018-12,375,0.7428337874273524,0.7999595332296247,-8.114860661448175,0.905736571583352,0.7749138596078654,0.9188513933855182,0.1095357451780894,-0.22809101237696883,83.84835045978483,91.25343996143341
