entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
usgs_11209900,usgs_daily,daily,11209900,KAWEAH R A THREE RIVERS CA,419.0,11688,11688,0.7732762489329563,0.7675207130009924,-5.1770361242460945,0.8788729558055847,0.8154688964985576,0.948229638757539
usgs_11213500,usgs_daily,daily,11213500,KINGS R AB NF NR TRIMMER CA,952.0,11960,11960,0.8701529562805645,0.7840378843071406,4.797261621172246,0.9019317648054871,1.070295832752116,1.0479726162117224
usgs_11214000,usgs_daily,daily,11214000,NF KINGS R BL MEADOWBROOK CA,37.63,9130,9130,0.7040562342360108,0.5866027403264825,21.675514887455023,0.8205015306686096,1.091543527562741,1.2167551488745503
usgs_11218500,usgs_daily,daily,11218500,KINGS R BL NF NR TRIMMER CA,1341.16,11550,11550,0.8509586738435506,0.8581319208616349,12.69824368014362,0.936600872859924,1.0454898705682798,1.1269824368014363
usgs_11220000,usgs_daily,daily,11220000,BIG C AB PINE FLAT RES NR TRIMMER CA,69.92,7305,7305,0.3330943483678409,0.45965409425842974,-17.6615575134356,0.7824782348471996,0.3948104689572982,0.823384424865644
usgs_11220500,usgs_daily,daily,11220500,SYCAMORE C AB PINE FLAT RES NR TRIMMER CA,56.03,7457,7457,0.49220415907166215,0.5433218344936892,-7.376148170783224,0.7672213035631102,0.5547697917194687,0.9262385182921677
usgs_11224500,usgs_daily,daily,11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA,95.63,23610,23610,0.7330559396969882,0.537762493634851,13.663290732986232,0.7707982439945956,1.0075587703819011,1.1366329073298622
usgs_11226500,usgs_daily,daily,11226500,SAN JOAQUIN R A MILLER CROSSING CA,251.15,14534,14534,0.669384334548517,0.7318893133792914,-28.03243314866976,0.8767070654319141,0.8754052982504763,0.7196756685133024
usgs_11230500,usgs_daily,daily,11230500,BEAR C NR LAKE THOMAS A EDISON CA,52.39,21677,21677,0.8063648367285376,0.6181322943584162,4.184105291414882,0.8239654624940085,1.0689619050726773,1.0418410529141489
usgs_11237500,usgs_daily,daily,11237500,PITMAN C BL TAMARACK C CA,23.26,21958,21958,0.7096374927425044,0.7322495713961298,-7.035933003291737,0.8633349061364927,0.7536616099397885,0.9296406699670826
usgs_11253310,usgs_daily,daily,11253310,CANTUA C NR CANTUA CREEK CA,46.4,17418,17418,0.46782308238066406,0.44910303030867893,-27.84681497370188,0.6719329481797282,0.6868869681108531,0.7215318502629813
usgs_11257500,usgs_daily,daily,11257500,FRESNO R NR KNOWLES CA,133.39,7670,7670,0.7325004600548086,0.5649085366543742,16.51437196051202,0.8000060772490694,1.0654674469379195,1.16514371960512
usgs_11258000,usgs_daily,daily,11258000,FRESNO R BL HIDDEN DAM NR DAULTON CA,258.21,7670,7670,0.8218845010751099,0.6944251373206789,8.775016716383618,0.8456107563636803,0.9862522522067622,1.087750167163836
usgs_11259000,usgs_daily,daily,11259000,CHOWCHILLA R BL BUCHANAN DAM NR RAYMOND CA,237.23,8307,8307,0.5139266225274113,0.6096608845230587,-25.67330641006994,0.7991245893923119,0.639438588450915,0.7432669358993007
usgs_11264500,usgs_daily,daily,11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,180.77,23525,23525,0.8868494151312607,0.8204529797390467,0.8958044795530548,0.9197428027077145,1.0792564859955713,1.0089580447955306
