basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
FresnoRiver,37.34375,-119.71875,5.35580028,744,44888,1,1,1,1,37.343750_-119.718750
FresnoRiver,37.34375,-119.65625,5.35580028,814,59029,1,1,1,1,37.343750_-119.656250
FresnoRiver,37.34375,-119.59375,3.22502019,1022,67162,1,1,1,1,37.343750_-119.593750
FresnoRiver,37.28125,-119.84375,0.32522483,560,36381,1,1,1,1,37.281250_-119.843750
FresnoRiver,37.28125,-119.78125,4.69305827,512,33418,1,1,1,1,37.281250_-119.781250
FresnoRiver,37.28125,-119.71875,5.36025477,784,35524,1,1,1,1,37.281250_-119.718750
FresnoRiver,37.28125,-119.65625,4.31233147,934,51187,1,1,1,1,37.281250_-119.656250
FresnoRiver,37.28125,-119.59375,2.09803033,1010,61023,1,1,1,1,37.281250_-119.593750
FresnoRiver,37.21875,-119.90625,2.29459192,302,18692,1,1,1,1,37.218750_-119.906250
FresnoRiver,37.21875,-119.84375,4.25344093,443,19223,1,1,1,1,37.218750_-119.843750
FresnoRiver,37.21875,-119.78125,5.36470287,421,22655,1,1,1,1,37.218750_-119.781250
FresnoRiver,37.21875,-119.71875,5.36470287,616,31837,1,1,1,1,37.218750_-119.718750
FresnoRiver,37.21875,-119.65625,2.29848726,738,39992,1,1,1,1,37.218750_-119.656250
FresnoRiver,37.15625,-119.96875,0.00294097,221,11233,1,1,1,1,37.156250_-119.968750
FresnoRiver,37.15625,-119.90625,3.73850163,212,9111,1,1,1,1,37.156250_-119.906250
FresnoRiver,37.15625,-119.84375,5.24794603,293,10335,1,1,1,1,37.156250_-119.843750
FresnoRiver,37.15625,-119.78125,5.22479782,395,21645,1,1,1,1,37.156250_-119.781250
FresnoRiver,37.15625,-119.71875,3.96228661,467,29986,1,1,1,1,37.156250_-119.718750
FresnoRiver,37.15625,-119.65625,0.15155727,695,38448,1,1,1,1,37.156250_-119.656250
FresnoRiver,37.09375,-119.90625,4.48519773,139,0,1,1,1,1,37.093750_-119.906250
