center,start,end,source,metric,value,n_basins
1938-05-31,1923-05-31,1953-04-30,vic_11obs,pbias,14.375114587690499,11
1938-05-31,1923-05-31,1953-04-30,vic_11obs,seas_mismatch,0.07234255425927169,11
1938-05-31,1923-05-31,1953-04-30,vic_9unimp,kge,0.7095137403811391,9
1938-05-31,1923-05-31,1953-04-30,vic_9unimp,nse,0.8074668506121928,9
1938-05-31,1923-05-31,1953-04-30,vic_9unimp,pbias,21.62309208168258,9
1938-05-31,1923-05-31,1953-04-30,vic_9unimp,seas_mismatch,0.08232259270345446,9
1938-06-30,1923-06-30,1953-05-31,11obs,kge,0.870764349676371,11
1938-06-30,1923-06-30,1953-05-31,11obs,nse,0.8901329252492998,11
1938-06-30,1923-06-30,1953-05-31,11obs,pbias,-0.11435565126704514,11
1938-06-30,1923-06-30,1953-05-31,11obs,seas_mismatch,0.04218206307988243,11
1938-06-30,1923-06-30,1953-05-31,9unimp,kge,0.872946274002981,9
1938-06-30,1923-06-30,1953-05-31,9unimp,nse,0.8821099091550326,9
1938-06-30,1923-06-30,1953-05-31,9unimp,pbias,-0.4895621510059135,9
1938-06-30,1923-06-30,1953-05-31,9unimp,seas_mismatch,0.05945926132300614,9
