arc,node,source,n_months,kge,nse,pbias,r
I_MFA001,MFA001,vic,1167,0.41485607175915185,0.027311185191380982,37.52831441639718,0.6844369448974758
I_MFA023,MFA023,vic,1167,-0.06701224093348057,0.1871905242864591,-73.8850745967568,0.8144832744260772
I_MFA025,MFA025,vic,1167,-0.04896957191840645,0.20256122800555054,-71.80256104312606,0.8168188426929905
I_MFA036,MFA036,vic,1167,0.4506728718773898,0.23007812394994998,25.045599511147618,0.8185056128236536
I_MFF019,MFF019,vic,1167,0.832202174795644,0.7847452866634214,8.32868820209105,0.9116026950150682
I_MFF087,MFF087,vic,1167,-0.36096020514427885,-0.9971539120908504,112.44943970180621,0.8187468894104813
I_MFM008,MFM008,vic,1167,-1.290363928098321,-3.5035969948990617,149.37476528954977,0.9129160346006152
I_MFS013,MFS013,vic,1167,-2.1193411159312245,-10.558530445202667,149.3361111523683,0.619506035294828
I_MFS022,MFS022,vic,1167,-0.3077312053255772,-1.2478289793745785,77.81258196240809,0.7820757138606875
I_MFS047,MFS047,vic,1167,0.34697121574027845,0.33189720892281327,13.244349983581529,0.9219867170717564
I_MFY013,MFY013,vic,1167,0.8107610237384835,0.8192791361371681,5.622070989013279,0.9357433540117129
I_MIL003,MIL003,vic,1167,0.5744409354577129,0.17386852035441613,-10.60532804712998,0.7208187697146548
I_MLC006,MLC006,vic,1167,0.4557357863198118,0.5062435691648449,7.886073732556006,0.9352856254655774
I_MLRTN,MLRTN,vic,1167,0.7884466660114349,0.8105928762650554,-2.885780771243068,0.9380203869213374
I_MLRTN_IMP,MLRTN_IMP,vic,1167,0.3426407812276142,0.17433281542503998,-1.202845030897405,0.8757253782861363
I_MNS000,MNS000,vic,1167,0.27753443684414036,0.1424858561406448,23.118297410394753,0.8926027022869023
I_MOK079,MOK079,vic,1167,0.5026738759238241,0.15829475722869568,-28.02387189119541,0.589808636570103
I_MPS038,MPS038,vic,1167,0.41188346552483135,0.061804820539501426,20.909859564076772,0.4687792602680413
I_MSH015,MSH015,vic,1167,0.5063002478367236,0.7233637434568803,45.56210198031867,0.8658610042979361
I_MTMDW,MTMDW,vic,1167,0.4083748065873448,-0.22402506636962394,-46.86539613150684,0.8158763240718788
I_NBLDB,NBLDB,vic,1167,0.8270058193863064,0.7233355150804384,-3.4389708305749083,0.8839849545008691
I_NFA016,NFA016,vic,1167,0.5864008990161087,0.5123281604216036,-33.47053518591191,0.7731871525391185
I_NFA022,NFA022,vic,1167,0.6954437339449382,0.45340459440374403,-10.490242573324922,0.7893579658613907
I_NFA054,NFA054,vic,1167,0.641462471233547,0.7920762499403838,24.75794769659229,0.9583070774945734
I_NFF029,NFF029,vic,1167,0.6911884624987595,0.5538737136992107,-2.38463745184766,0.8535659497417581
I_NFM010,NFM010,vic,1167,0.648904655378087,0.270591995215987,-2.8979718044541625,0.6534985797776323
I_NFS005,NFS005,vic,1167,0.40882671091823153,-0.14410296829929137,-21.419653985947743,0.44933156054794704
I_NFS009,NFS009,vic,1167,0.9150784370622033,0.843656795504912,-3.4270396867618635,0.9228642163322784
I_NFS033,NFS033,vic,1167,0.7594079630082098,0.566715206190005,-2.7276811318633505,0.8253448568504187
I_NFY029,NFY029,vic,1167,0.6681559286791301,0.6439695351799174,5.318662066050602,0.9026009299268831
I_NHGAN,NHGAN,vic,1167,0.6305742727417349,0.810531503980129,30.505851030011907,0.9472230810975012
I_NLC003,NLC003,vic,1167,0.13797278897481036,-0.010672918533434439,57.75988227331249,0.855074285354987
I_NMA003,NMA003,vic,1167,0.7970050221089724,0.5869005222402273,-2.3270048282767006,0.8031001452309764
I_NNA013,NNA013,vic,1167,-0.40473015203145746,-1.9799838485178642,79.35269384755466,0.6862177816891969
I_OGN005,OGN005,vic,1167,0.8387433617659805,0.7714087833652086,1.4364655828864192,0.9064879026465719
I_ORG000,ORG000,vic,1167,0.2081219643267762,0.4130923151492092,47.559614266011735,0.7144734711348457
I_OROVL,OROVL,vic,1167,0.7338967520874746,0.613275408213422,13.90705731340266,0.8517946288632163
I_ORT014,ORT014,vic,1167,0.22788431189153513,0.4846325927348727,73.38016067681026,0.7606232373633944
I_OWN040,OWN040,vic,1167,0.6011806969864659,0.6310746309155666,-15.830320233579673,0.8059956289965323
I_PARDE,PARDE,vic,1167,0.8119799337228056,0.6733630323635293,9.87206613202275,0.8413087577448685
I_PCRST,PCRST,vic,1167,0.7233455161789966,0.7731271849154209,2.287647518048957,0.9391953184809473
I_PEDRO,PEDRO,vic,1167,0.5132764252638342,0.612026087000825,22.397227611290287,0.9379460572248082
I_PLC007,PLC007,vic,1167,0.46082475949141677,0.49212878975705765,-39.10387323016575,0.7528512490880018
I_PLM001,PLM001,vic,1167,0.3197238746664349,0.10423283460614119,42.83598723137228,0.8031158854267801
I_PTH070,PTH070,vic,1167,0.8778072085734799,0.9061319590514023,9.22816264009374,0.959289999345917
I_PYN001,PYN001,vic,1167,0.6503555914982957,0.5307745051910513,24.459836091142336,0.822413410302021
I_PYR001,PYR001,vic,1167,0.5050848388870799,0.6146650183816771,-43.4622839352241,0.864263394212921
I_QNT005,QNT005,vic,1167,-0.2494083992877778,0.17745189688608964,120.47110661056789,0.7086827374142822
I_RCK001,RCK001,vic,1167,-0.24471790197042353,-0.9203899777662832,59.74650682546845,0.8649474823116109
I_RLIEF,RLIEF,vic,1167,0.4311421643036525,0.37613793684560803,-1.3138092861142323,0.90056650333986
I_RLLNS,RLLNS,vic,1167,0.787868376466704,0.8167984952809761,0.08677383331233289,0.9411598794402246
I_RUB002,RUB002,vic,1167,,,,
I_RUB047,RUB047,vic,1167,0.564497818119186,0.7505542618267498,-38.61070931485478,0.9237192919212043
I_RVPHB,RVPHB,vic,1167,0.5693378126886237,0.27618165002864137,8.805416508781166,0.7851762668319813
I_SCOTF,SCOTF,vic,1167,0.8235183961559109,0.8513222219992345,-16.09899731153013,0.9307297793701864
I_SCW008,SCW008,vic,1167,0.035039791133081644,0.31114560953104364,78.06540752614909,0.9454207892201757
I_SFA030,SFA030,vic,1167,0.1442863948012828,0.2785493815059942,-59.415261442607516,0.677492000207513
I_SFA040,SFA040,vic,1167,0.5650696423044459,0.4702916166301886,30.143518134225594,0.8287311705823901
I_SFA066,SFA066,vic,1167,0.7519932843760732,0.5007841599158063,-5.7165405865446175,0.7628904500529198
I_SFA076,SFA076,vic,1167,0.41857508706500857,0.2124544920682917,20.927296650709938,0.8359360768059105
I_SFD003,SFD003,vic,1167,0.16327514064776238,0.17059751703130988,47.44285959229074,0.9256352466227875
I_SFF008,SFF008,vic,1167,-0.7644025472680109,-2.0768492357737203,120.65968154834847,0.8291221874938661
I_SFF011,SFF011,vic,1167,0.43468461119392543,0.38166186894344056,38.29228063729636,0.8567620741445674
I_SFM005,SFM005,vic,1167,0.3466126395319086,0.35995978005951934,34.1295063541565,0.9066634287941971
I_SFR006,SFR006,vic,1167,0.762451732480534,0.8099675945947143,-17.831573864675565,0.9096664178204329
I_SFS030,SFS030,vic,1167,0.7300148553568311,0.46598406957656335,-2.198089519747448,0.7786707076931257
I_SFS033,SFS033,vic,1167,0.8739091796661319,0.8679444616601035,-10.91094472419436,0.9372234461742321
I_SFY007,SFY007,vic,1167,0.11375838317430653,0.01637378578344595,55.58418307064272,0.889249634513923
I_SFY048,SFY048,vic,1167,0.8987832993309518,0.8358376025160968,-2.6778814884944913,0.9247214892768024
I_SGRGE,SGRGE,vic,1167,0.6915977205046844,0.7372391550007282,18.48526361553495,0.920285558043896
I_SHSTA,SHSTA,vic,1167,0.7804871813250274,0.868617148578477,2.364674314910338,0.9654027721064369
I_SILVR,SILVR,vic,1167,0.6644434608972134,0.5402416470551489,15.392202172627952,0.8466688359402031
I_SJR258,SJR258,vic,1167,0.5471546450522969,0.7636829394529123,42.36331116446246,0.884331518054644
I_SJR265,SJR265,vic,1167,0.21159498430183143,0.3839286131761209,74.0220780763112,0.7340841648272316
I_SLC003,SLC003,vic,1167,-0.023806706355708807,-0.27454786504392614,70.07034389012821,0.8516082373236441
I_SLF009,SLF009,vic,1167,0.41670744957131445,0.349938057482736,27.86238169476688,0.8790492940223544
I_SLO007,SLO007,vic,1167,0.4060688585187905,0.5476472702370065,34.705923175241864,0.7725986318582477
I_SLT009,SLT009,vic,1167,0.8120590950767053,0.7986648195650885,-15.432128262690627,0.9031074216161038
