period,window,set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
pre1950,WY1922–1949,15cdec,MKM,vic,inflow_sum,336,0.7167991223595547,0.6763896513964672,23.266811186023467,0.8719217826224535,66.88060949858742,54.2567856303649,0.11979026434006776,6.921989496083712,7.052422504591509,-0.13043300850779715
pre1950,WY1922–1949,15cdec,MRC,15cdec,unimp,336,0.9046579729761642,0.8981410894009383,7.351549740511595,0.9533888076438786,80.00693757579938,74.5279763256244,0.06449836620496208,7.154794259218846,7.095174863394848,0.05961939582399811
pre1950,WY1922–1949,15cdec,MRC,vic,unimp,336,0.6101764903150897,0.7441007310668755,27.061457423945036,0.9480799788383042,94.69633290791108,74.5279763256244,0.055670967829306806,6.90996080437081,7.095174863394848,-0.1852140590240383
pre1950,WY1922–1949,15cdec,NHG,15cdec,inflow_sum,336,0.8094496598596734,0.8827336543296282,-5.0619099885289875,0.948039379479202,10.144191402783065,10.685059496728215,0.0722726108947436,5.17126561206426,5.354009848474097,-0.18274423640983706
pre1950,WY1922–1949,15cdec,NHG,vic,inflow_sum,336,0.65090400438035,0.7996227887248082,31.780906631623793,0.9286634370939522,14.080868278916862,10.685059496728215,0.09976545400040443,5.3825216091599035,5.354009848474097,0.028511760685806742
pre1950,WY1922–1949,15cdec,NML,15cdec,unimp,336,0.8548901844087633,0.7756749040848016,7.999814422029528,0.8860918396333554,91.05358269363988,84.30901773389252,0.12801754391486758,7.435322679341131,7.087811057896956,0.34751162144417513
pre1950,WY1922–1949,15cdec,NML,vic,unimp,336,0.6572689207876166,0.6823453651827851,24.737952569636196,0.9053526633226667,105.16534255282902,84.30901773389252,0.0900529645269961,7.266364597147624,7.087811057896956,0.17855353925066808
pre1950,WY1922–1949,15cdec,ORO,15cdec,unimp,336,0.8583648433183888,0.8193134642191411,-8.911544274301228,0.9226977196900038,288.5579260787672,316.78869048754376,0.12822633242535753,5.941400338651698,6.343253004496996,-0.4018526658452988
pre1950,WY1922–1949,15cdec,ORO,vic,unimp,336,0.8400544811696761,0.8597721082273824,5.727245895121229,0.9485425427363556,334.9319577596999,316.78869048754376,0.07752046331604444,6.035323634315612,6.343253004496996,-0.3079293701813848
pre1950,WY1922–1949,15cdec,SHA,15cdec,unimp,336,0.6087172139327592,0.6529444761130647,-38.46160370851394,0.9600879103237454,249.32207997499995,405.1488095238095,0.13496498187939837,5.935016234777102,6.091394853354002,-0.15637861857690005
pre1950,WY1922–1949,15cdec,SHA,vic,unimp,336,0.8822501982044174,0.8695244563974361,-8.794317188356127,0.9462088962947902,369.51873812943694,405.1488095238095,0.030072279993801052,6.094528237301979,6.091394853354002,0.003133383947977464
pre1950,WY1922–1949,15cdec,TLG,15cdec,unimp,336,0.7888591928861988,0.8216376848973618,13.899452529835884,0.9376621424732161,160.2555125186515,140.69910693966918,0.08648378669623388,7.371112084460818,7.155336192579162,0.21577589188165636
pre1950,WY1922–1949,15cdec,TLG,vic,unimp,336,0.6592222094940072,0.7766156904167837,16.985445950665113,0.9546693262670827,164.59747770197518,140.69910693966918,0.03607828222009124,7.2629644778674605,7.155336192579162,0.10762828528829882
pre1950,WY1922–1949,15cdec,YRS,15cdec,unimp,336,0.9015824806268118,0.821667869906538,4.049750718245367,0.9107590901755055,179.40960981195113,172.42675602152235,0.10630223994645457,6.176940787162033,6.387678676084946,-0.210737888922913
pre1950,WY1922–1949,15cdec,YRS,vic,unimp,336,0.896184353228503,0.8501744179268345,-1.1927544232263796,0.9334954278992355,170.37012826224986,172.42675602152235,0.09156178221784907,6.111427375335387,6.387678676084946,-0.2762513007495597
pre1950,WY1922–1949,9unimp,BearRiver,9unimp,inflow_sum,336,0.86760110160777,0.9415177203244246,-12.99882112226077,0.9756171062447736,22.103607562656965,25.406101213546382,0.08564083396669578,5.273214698118928,5.611323294458929,-0.33810859634000057
pre1950,WY1922–1949,9unimp,BearRiver,vic,inflow_sum,336,0.7318423593464205,0.842269460786594,4.622882528613599,0.9651345632678164,26.580595427749305,25.406101213546382,0.1135816378110755,5.264936555704579,5.611323294458929,-0.34638673875435
pre1950,WY1922–1949,9unimp,CacheCreek,9unimp,inflow_sum,336,0.6330659382656598,0.6990541972928117,-23.515896428811644,0.8529180155640059,33.076725501650145,43.24653615226548,0.1476026391990234,5.392914915975011,5.415733169507178,-0.02281825353216771
pre1950,WY1922–1949,9unimp,CacheCreek,vic,inflow_sum,336,0.8803272614089741,0.8524005118281883,-8.373353587630826,0.9323562083650493,39.625350765833694,43.24653615226548,0.05483394138932374,5.05684990846122,5.415733169507178,-0.3588832610459587
pre1950,WY1922–1949,9unimp,CalaverasRiver,9unimp,inflow_sum,336,0.93298119313652,0.9284352986095501,5.5780197043554605,0.9651144832411376,11.28107422087782,10.685059496728215,0.07087825696065922,5.161912814151527,5.354009848474097,-0.19209703432257008
pre1950,WY1922–1949,9unimp,CalaverasRiver,vic,inflow_sum,336,0.65090400438035,0.7996227887248082,31.780906631623793,0.9286634370939522,14.080868278916862,10.685059496728215,0.09976545400040443,5.3825216091599035,5.354009848474097,0.028511760685806742
pre1950,WY1922–1949,9unimp,ChowchillaRiver,9unimp,inflow_sum,336,0.8771176819972455,0.9037026667305941,-9.6262750623196,0.9517344187061743,5.155847880740774,5.7050297354636275,0.05677960143210583,5.375948432216091,5.456567132813496,-0.08061870059740528
pre1950,WY1922–1949,9unimp,ChowchillaRiver,vic,inflow_sum,336,0.5774332227873842,0.7988179412547485,38.16858362513859,0.9398624701790772,7.882558780883084,5.7050297354636275,0.08279731581586301,5.409396405080058,5.456567132813496,-0.047170727733438333
