key,lat,lon,in_15cdec_grid,in_9unimp,in_11obs,in_12rim,in_calsim3_fp
35.65625_-118.15625,35.65625,-118.15625,1,0,0,0,1
35.65625_-118.09375,35.65625,-118.09375,1,0,0,0,1
35.65625_-118.03125,35.65625,-118.03125,1,0,0,0,1
35.65625_-117.96875,35.65625,-117.96875,1,0,0,0,1
35.71875_-120.21875,35.71875,-120.21875,0,0,0,0,1
35.71875_-120.15625,35.71875,-120.15625,0,0,0,0,1
35.71875_-120.09375,35.71875,-120.09375,0,0,0,0,1
35.71875_-120.03125,35.71875,-120.03125,0,0,0,0,1
35.71875_-119.96875,35.71875,-119.96875,0,0,0,0,1
35.71875_-119.90625,35.71875,-119.90625,0,0,0,0,1
35.71875_-119.84375,35.71875,-119.84375,0,0,0,0,1
35.71875_-119.78125,35.71875,-119.78125,0,0,0,0,1
35.71875_-119.71875,35.71875,-119.71875,0,0,0,0,1
35.71875_-119.65625,35.71875,-119.65625,0,0,0,0,1
35.71875_-119.59375,35.71875,-119.59375,0,0,0,0,1
35.71875_-119.53125,35.71875,-119.53125,0,0,0,0,1
35.71875_-119.46875,35.71875,-119.46875,0,0,0,0,1
35.71875_-119.40625,35.71875,-119.40625,0,0,0,0,1
35.71875_-119.34375,35.71875,-119.34375,0,0,0,0,1
35.71875_-119.28125,35.71875,-119.28125,0,0,0,0,1
35.71875_-119.21875,35.71875,-119.21875,0,0,0,0,1
35.71875_-119.15625,35.71875,-119.15625,0,0,0,0,1
35.71875_-119.09375,35.71875,-119.09375,0,0,0,0,1
35.71875_-119.03125,35.71875,-119.03125,0,0,0,0,1
35.71875_-118.96875,35.71875,-118.96875,0,0,0,0,1
35.71875_-118.90625,35.71875,-118.90625,0,0,0,0,1
35.71875_-118.84375,35.71875,-118.84375,0,0,0,0,1
35.71875_-118.78125,35.71875,-118.78125,0,0,0,0,1
35.71875_-118.71875,35.71875,-118.71875,0,0,0,0,1
35.71875_-118.65625,35.71875,-118.65625,0,0,0,0,1
35.71875_-118.59375,35.71875,-118.59375,1,0,0,0,1
35.71875_-118.53125,35.71875,-118.53125,1,0,0,0,1
35.71875_-118.46875,35.71875,-118.46875,1,0,0,0,1
35.71875_-118.40625,35.71875,-118.40625,1,0,0,0,1
35.71875_-118.34375,35.71875,-118.34375,1,0,0,0,1
35.71875_-118.28125,35.71875,-118.28125,1,0,0,0,1
35.71875_-118.21875,35.71875,-118.21875,1,0,0,0,1
35.71875_-118.15625,35.71875,-118.15625,1,0,0,0,1
35.71875_-118.09375,35.71875,-118.09375,1,0,0,0,1
35.71875_-118.03125,35.71875,-118.03125,1,0,0,0,1
35.71875_-117.96875,35.71875,-117.96875,1,0,0,0,1
35.78125_-120.21875,35.78125,-120.21875,0,0,0,0,1
35.78125_-120.15625,35.78125,-120.15625,0,0,0,0,1
35.78125_-120.09375,35.78125,-120.09375,0,0,0,0,1
35.78125_-120.03125,35.78125,-120.03125,0,0,0,0,1
35.78125_-119.96875,35.78125,-119.96875,0,0,0,0,1
35.78125_-119.90625,35.78125,-119.90625,0,0,0,0,1
35.78125_-119.84375,35.78125,-119.84375,0,0,0,0,1
35.78125_-119.78125,35.78125,-119.78125,0,0,0,0,1
35.78125_-119.71875,35.78125,-119.71875,0,0,0,0,1
35.78125_-119.65625,35.78125,-119.65625,0,0,0,0,1
35.78125_-119.59375,35.78125,-119.59375,0,0,0,0,1
35.78125_-119.53125,35.78125,-119.53125,0,0,0,0,1
35.78125_-119.46875,35.78125,-119.46875,0,0,0,0,1
35.78125_-119.40625,35.78125,-119.40625,0,0,0,0,1
35.78125_-119.34375,35.78125,-119.34375,0,0,0,0,1
35.78125_-119.28125,35.78125,-119.28125,0,0,0,0,1
35.78125_-119.21875,35.78125,-119.21875,0,0,0,0,1
35.78125_-119.15625,35.78125,-119.15625,0,0,0,0,1
35.78125_-119.09375,35.78125,-119.09375,0,0,0,0,1
35.78125_-119.03125,35.78125,-119.03125,0,0,0,0,1
35.78125_-118.96875,35.78125,-118.96875,0,0,0,0,1
35.78125_-118.90625,35.78125,-118.90625,0,0,0,0,1
35.78125_-118.84375,35.78125,-118.84375,0,0,0,0,1
35.78125_-118.78125,35.78125,-118.78125,0,0,0,0,1
35.78125_-118.71875,35.78125,-118.71875,0,0,0,0,1
35.78125_-118.65625,35.78125,-118.65625,0,0,0,0,1
35.78125_-118.59375,35.78125,-118.59375,1,0,0,0,1
35.78125_-118.53125,35.78125,-118.53125,1,0,0,0,1
35.78125_-118.46875,35.78125,-118.46875,1,0,0,0,1
35.78125_-118.40625,35.78125,-118.40625,1,0,0,0,1
35.78125_-118.34375,35.78125,-118.34375,1,0,0,0,1
35.78125_-118.28125,35.78125,-118.28125,1,0,0,0,1
35.78125_-118.21875,35.78125,-118.21875,1,0,0,0,1
35.78125_-118.15625,35.78125,-118.15625,1,0,0,0,1
35.78125_-118.09375,35.78125,-118.09375,1,0,0,0,1
35.78125_-118.03125,35.78125,-118.03125,1,0,0,0,1
35.84375_-120.28125,35.84375,-120.28125,0,0,0,0,1
35.84375_-120.21875,35.84375,-120.21875,0,0,0,0,1
35.84375_-120.15625,35.84375,-120.15625,0,0,0,0,1
35.84375_-120.09375,35.84375,-120.09375,0,0,0,0,1
35.84375_-120.03125,35.84375,-120.03125,0,0,0,0,1
