key,date,prcp_raw_mm
39.78125_-121.40625,1974-07-09,161.7989959716797
39.78125_-121.46875,1974-07-08,150.8000030517578
39.78125_-121.46875,1974-07-09,169.947998046875
39.96875_-121.40625,1974-07-08,165.88999938964844
39.96875_-121.46875,1974-07-08,159.70599365234375
40.03125_-121.40625,1974-07-08,157.1300048828125
40.03125_-121.46875,1916-07-01,155.88900756835938
40.03125_-121.46875,1974-07-08,160.68699645996094
40.59375_-122.59375,1976-08-15,164.61399841308594
40.59375_-122.65625,1954-08-28,168.31300354003906
40.59375_-122.65625,1976-08-15,168.4929962158203
40.65625_-122.53125,1976-08-15,153.01300048828125
