basin,model,dp,dt,annual,freshet,maxmon,minmon,pct_annual,pct_freshet,pct_maxmon,pct_minmon
SCC,Physics (noah),-0.2,3.5,192.9513,73.9668,38.926,3.3757,-40.7827,-50.5311,-28.7332,-47.8735
ISB,Physics (noah),-0.2,3.5,562.3733,243.6432,105.0537,8.5499,-44.6987,-59.979,-46.0458,-57.601
SHA,Physics (noah),-0.2,4.0,2821.7525,842.7228,509.4106,62.095,-38.9978,-47.3983,-33.4639,-43.3345
BND,Physics (noah),-0.2,4.0,3715.5621,1076.1639,709.5199,66.2495,-41.0054,-48.4181,-36.4606,-44.8381
ORO,Physics (noah),-0.2,4.0,2265.83,622.6291,468.1422,27.2796,-39.3425,-51.5088,-33.247,-49.3021
YRS,Physics (noah),-0.2,4.0,1391.3992,424.8849,268.8699,21.9504,-35.6272,-51.8856,-20.7673,-46.4146
FOL,Physics (noah),-0.2,4.0,1487.8541,446.47,309.6344,17.4687,-39.9303,-55.9132,-28.1857,-52.9314
MKM,Physics (noah),-0.2,4.0,421.3434,132.9193,91.2745,3.6932,-40.2364,-64.4511,-27.7773,-66.931
NHG,Physics (noah),-0.2,4.0,75.5208,23.5654,16.5878,0.775,-49.0009,-50.7089,-49.9635,-49.2998
NML,Physics (noah),-0.2,4.0,640.3436,227.3211,133.8193,5.7973,-40.0264,-65.0348,-39.6854,-66.3273
TLG,Physics (noah),-0.2,4.0,953.4871,380.779,194.0016,4.5107,-40.3357,-62.9421,-42.7523,-74.8869
MRC,Physics (noah),-0.2,4.0,554.6399,209.8267,114.5771,4.221,-41.2698,-63.5596,-44.3037,-60.5865
MIL,Physics (noah),-0.2,4.0,799.6447,379.2371,163.0752,3.928,-43.0865,-60.4997,-49.828,-80.2416
PNF,Physics (noah),-0.2,4.0,682.6709,336.5588,131.3829,6.6311,-43.7528,-61.4591,-59.2785,-64.5166
TRM,Physics (noah),-0.2,4.0,182.0228,67.4022,38.5315,1.944,-45.9848,-66.1956,-44.9523,-60.8175
SCC,Physics (noah),-0.2,4.0,190.9904,72.3298,38.7975,3.328,-41.3845,-51.6259,-28.9686,-48.6098
ISB,Physics (noah),-0.2,4.0,555.5713,230.4848,106.9555,8.164,-45.3676,-62.1404,-45.069,-59.5146
SHA,Physics (noah),-0.15,0.0,3409.2635,1178.5278,578.0171,82.4757,-26.2967,-26.4377,-24.503,-24.7359
BND,Physics (noah),-0.15,0.0,4556.1051,1516.7412,824.7085,89.4425,-27.6595,-27.3007,-26.1451,-25.5268
ORO,Physics (noah),-0.15,0.0,2737.3027,938.2859,526.4949,40.1033,-26.721,-26.9251,-24.9264,-25.4698
